,China,Canada,Iceland,India,Russia,UAE,USA,South Africa,Brazil,Australia,World
1995,11.01,10.57,0.88,2.64,13.22,2.2,15.86,4.8,5.3,8.8,25.15
1996,11.01,10.57,0.88,2.64,13.22,2.2,15.86,4.8,5.3,8.8,25.15
1997,11.01,10.57,0.88,2.64,13.22,2.2,15.86,4.8,5.3,8.8,25.15
1998,11.01,10.57,0.88,2.64,13.22,2.2,15.86,4.8,5.3,8.8,25.15
1999,11.44,9.32,1.69,2.54,12.71,2.97,14.83,6.4,5.4,11.9,21.22
2000,11.93,9.88,1.65,2.06,13.17,2.06,14.81,5.2,5.4,9.2,25.06
2001,13.58,10.29,2.06,1.65,13.17,2.47,11.11,7.6,5.5,11.8,21.19
2002,16.92,9.23,3.85,1.15,11.92,3.46,9.62,6.9,5.2,11,20.75
2003,19.29,9.64,1.07,3.21,11.07,2.14,10.71,5.6,5.1,8.7,23.46
2004,22.67,8.67,0.67,2.33,11.33,3.67,7.67,7.6,5.1,10,20.3
2005,23.9,9.75,2.52,0.94,10.38,3.14,7.23,7.3,5,9.3,20.54
2006,27.51,8.58,1.48,3.25,10.95,2.66,6.8,6.6,4.6,8.1,19.16
2007,32.89,8.68,1.05,2.63,10.53,2.11,6.58,5.7,4.2,7.3,18.06
2008,33.25,8.12,2.03,2.79,10.15,2.54,6.35,5.3,4.1,7.1,18.27
2009,34.41,8.33,2.15,3.76,10.48,2.42,5.65,4.8,3.9,6.3,17.53
2010,38.81,6.67,2.62,3.33,9.05,3.1,5.24,5.6,3.7,7.4,14.25
2011,40.22,6.67,2,3.56,8.89,4.44,4.44,5.7,3.6,7.3,13.18
2012,44.16,5.63,2.16,3.46,8.66,4.33,4.55,4.9,3.3,6.5,12.57
2013,46.03,6.28,1.67,3.77,7.74,3.77,4.39,4.2,3.1,4.9,14.16
2014,52.13,5.36,2.03,3.14,6.28,4.25,3.14,4.3,2.8,5,11.38
2015,54.25,5.2,1.56,3.99,5.72,4.51,2.77,3.8,2.6,4.4,11.21
2016,54.17,5.45,1.7,4.09,7.5,4.09,1.53,3.5,2.6,4.1,11.27
2017,54.38,5.22,1.52,5.56,5.89,4.71,1.01,3.4,2.6,3.7,12.02
2018,56.54,4.41,1.57,5.35,5.67,4.25,1.26,3.2,2.5,3.7,11.54
2019,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2020,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2021,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2022,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2023,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2024,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2025,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2026,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2027,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2028,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2029,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2030,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2031,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2032,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2033,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2034,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2035,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2036,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2037,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2038,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2039,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2040,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2041,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2042,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2043,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2044,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2045,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2046,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2047,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2048,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2049,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
2050,55.96,4.29,1.59,5.56,5.88,3.97,1.75,3.2,2.5,3.7,11.59
