year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ
year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg
1995,0.0062,4.591723628,80.03966043,1.4,0.018,0.09,78,0.61,1.4,0.018
1996,0.0062,4.591723628,80.03966043,1.4,0.018,0.09,78,0.61,1.4,0.018
1997,0.0062,4.591723628,80.03966043,1.4,0.018,0.09,78,0.61,1.4,0.018
1998,0.0062,4.539362517,80.02668262,1.4,0.018,0.09,78,0.61,1.4,0.018
1999,0.0062,4.487001406,80.01543798,1.4,0.018,0.09,78,0.61,1.4,0.018
2000,0.0062,4.434640295,80.0059879,1.4,0.018,0.09,78,0.61,1.4,0.018
2001,0.0062,4.382279184,79.99839671,1.4,0.018,0.09,78,0.61,1.4,0.018
2002,0.0062,4.318723628,80.2000788,1.4,0.018,0.09,78,0.61,1.4,0.018
2003,0.0062,4.255168073,80.40993256,1.4,0.018,0.09,78,0.61,1.4,0.018
2004,0.0062,4.191612517,80.62832971,1.4,0.018,0.09,78,0.61,1.4,0.018
2005,0.0062,4.128056962,80.85566484,1.4,0.018,0.09,78,0.61,1.4,0.018
2006,0.0062,4.064501406,81.09235723,1.4,0.018,0.09,78,0.61,1.4,0.018
2007,0.0062,4.022056962,81.47572327,1.4,0.018,0.09,78,0.61,1.4,0.018
2008,0.0062,3.979612517,81.86726687,1.4,0.018,0.09,78,0.61,1.4,0.018
2009,0.0062,3.937168073,82.2672525,1.4,0.018,0.09,78,0.61,1.4,0.018
2010,0.0062,3.894723628,82.67595617,1.4,0.018,0.09,78,0.61,1.4,0.018
2011,0.0062,3.852279184,83.09366604,1.4,0.018,0.09,78,0.61,1.4,0.018
2012,0.0062,3.80983474,83.52068312,1.4,0.018,0.09,78,0.61,1.4,0.018
2013,0.0062,3.767390295,83.95732197,1.4,0.018,0.09,78,0.61,1.4,0.018
2014,0.0062,3.724945851,84.40391152,1.4,0.018,0.09,78,0.61,1.4,0.018
2015,0.0062,3.682501406,84.86079584,1.4,0.018,0.09,78,0.61,1.4,0.018
2016,0.0062,3.640056962,85.32833504,1.4,0.018,0.09,78,0.61,1.4,0.018
2017,0.0062,3.597612517,85.80690625,1.4,0.018,0.09,78,0.61,1.4,0.018
2018,0.0062,3.555168073,86.29690459,1.4,0.018,0.09,78,0.61,1.4,0.018
2019,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2020,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2021,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2022,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2023,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2024,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2025,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2026,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2027,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2028,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2029,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2030,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2031,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2032,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2033,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2034,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2035,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2036,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2037,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2038,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2039,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2040,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2041,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2042,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2043,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2044,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2045,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2046,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2047,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2048,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2049,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
2050,0.0062,3.512723628,86.79874429,1.4,0.018,0.09,78,0.61,1.4,0.018
