year,E_GlassTempering,prct_fuel,Source,Notes
1980,0.48,95,"H. L. Brown, Energy Analysis of 108 Industrial Processes. The Fairmont Press, Inc., 1996.","1.2 lbs glass, annealing+cooling+tempering+packaging"
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,,,,
1993,,,,
1994,,,,
1995,,,,
1996,,,,
1997,0.81,95,"J. L. Pellegrino, “Energy and Environmental Profile of the U.S. Glass Industry,” DOE EERE, Industrial Technologies, DOE/GO-102002-1590, Apr. 2002. Accessed: Mar. 23, 2021. [Online]. Available: https://www.nrel.gov/docs/fy02osti/32135.pdf",includes annealing and tempering with marketshares of elec vs fuel gas tempering
1998,,,,
1999,,,,
2000,,,,
2001,3.13,41,"E. Worrell, C. Galitsky, C. Galitsky, E. Masanet, and W. Graus, “Energy Efficiency Improvement and Cost Saving Opportunities for the Glass Industry. An ENERGY STAR Guide for Energy and Plant Managers,” LBNL-57335-Revision, 927883, Mar. 2008. doi: 10.2172/927883.","US DOE 2002a, annealing = 0.03 MMBTU/ton, tempering = 3ish MMBTU/ton, includes both anneal and temper"
2002,,,,
2003,,,,
2004,,,,
2005,,,,
2006,,,,
2007,,,,
2008,,,,
2009,,,,
2010,,,,
2011,,,,
2012,,,,
2013,,,,
2014,,,,
2015,,,,
2016,,,,
2017,,,,
2018,,,,
2019,1.1,77,"M. Zier, P. Stenzel, L. Kotzur, and D. Stolten, “A review of decarbonization options for the glass industry,” Energy Conversion and Management: X, vol. 10, p. 100083, Jun. 2021, doi: 10.1016/j.ecmx.2021.100083.","2019 German data, elec+fuel, unsure how much is fuel (not 0) using the averge energy carrier fraction"
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
2039,,,,
2040,,,,
2041,,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,,,,
