year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%,%,%
1995,76,5.376,90,98,98,100,27.13,0,0,0,95,100,27.13
1996,76,5.376,90,98,98,100,27.13,0,0,0,95,100,27.13
1997,76,5.376,90,98,98,100,27.41,0,0,0,95,100,27.41
1998,76,5.376,90,98,98,100,27.11,0,0,0,95,100,27.11
1999,76,5.376,90,98,98,100,26.95,0,0,0,95,100,26.95
2000,76,5.376,90,98,98,100,26.74,0,0,0,95,100,26.74
2001,76,5.376,90,98,98,100,27.15,0,0,0,95,100,27.15
2002,76,5.376,90,98,98,100,28.84,0,0,0,95,100,28.84
2003,76,5.376,90,98,98,100,28.17,0,0,0,95,100,28.17
2004,76,5.376,90,98,98,100,27.62,0,0,0,95,100,27.62
2005,76,5.376,90,98,98,100,28.64,0,0,0,95,100,28.64
2006,76,5.376,90,98,98,100,30.62,0,0,0,95,100,30.62
2007,76,5.376,90,98,98,100,29.33,0,0,0,95,100,29.33
2008,76,5.376,90,98,98,100,28.54,0,0,0,95,100,28.54
2009,76,5.376,90,98,98,100,30.9,0,0,0,95,100,30.9
2010,76,5.376,90,98,98,100,29.7,0,0,0,95,100,29.7
2011,76,5.376,90,98,98,100,30.32,0,0,0,95,100,30.32
2012,76,5.376,90,98,98,100,30.42,0,0,0,95,100,30.42
2013,76,5.376,90,98,98,100,29.47,0,0,0,95,100,29.47
2014,76,5.376,90,98,98,100,30.69,0,0,0,95,100,30.69
2015,76,5.78816,90,98,98,100,29.26,0,0,0,95,100,29.26
2016,76,6.20032,90,98,98,100,30.91,0,0,0,95,100,30.91
2017,76,7.20384,90,98,98,100,31.12,0,0,0,95,100,31.12
2018,76,7.45472,90,98,98,100,31.23,0,0,0,95,100,31.23
2019,76,8.26112,90,98,98,100,31.23,0,0,0,95,100,31.23
2020,76,8.22528,90,98,98,100,31.23,0,0,0,95,100,31.23
2021,76,8.27008,90,98,98,100,31.23,0,0,0,95,100,31.23
2022,76,8.31488,90,98,98,100,31.23,0,0,0,95,100,31.23
2023,76,8.38656,90,98,98,100,31.23,0,0,0,95,100,31.23
2024,76,8.45824,90,98,98,100,31.23,0,0,0,95,100,31.23
2025,76,8.195413333,90,98,98,100,31.23,0,0,0,95,100,31.23
2026,76,7.932586667,90,98,98,100,31.23,0,0,0,95,100,31.23
2027,76,7.66976,90,98,98,100,31.23,0,0,0,95,100,31.23
2028,76,7.394986667,90,98,98,100,31.23,0,0,0,95,100,31.23
2029,76,7.120213333,90,98,98,100,31.23,0,0,0,95,100,31.23
2030,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2031,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2032,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2033,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2034,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2035,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2036,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2037,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2038,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2039,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2040,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2041,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2042,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2043,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2044,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2045,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2046,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2047,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2048,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2049,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2050,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2051,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2052,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2053,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2054,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2055,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2056,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2057,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2058,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2059,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2060,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2061,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2062,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2063,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2064,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2065,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2066,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2067,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2068,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2069,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2070,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2071,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2072,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2073,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2074,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2075,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2076,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2077,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2078,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2079,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2080,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2081,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2082,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2083,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2084,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2085,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2086,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2087,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2088,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2089,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2090,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2091,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2092,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2093,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2094,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2095,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2096,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2097,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2098,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2099,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
2100,76,6.84544,90,98,98,100,31.23,0,0,0,95,100,31.23
